Status,Exercise Display / Reference Name ,YouTube URL,Vimeo URL,Figure Icon ,Thumbnail,Coach,Assigned,Type,Tracking Fields,Per Side Info,Equipment,Muscle Groups,Tags / Target Areas,Description / Instructions,How To Perform 1,How To Perform 2,How To Perform 3,How To Perform 4
Complete,Alternating Supinated Biceps Curl Dumbbells ,,https://vimeo.com/769848384,Completed,Completed,DANNY,,Strength,Repetitions with Weight,Per Side,Dumbbells,Biceps,"Upper Body, Strength , Arms, Biceps ","A dumbbell curl with a supinated (palms up) grip, alternating arms to isolate each bicep through full range.","Stand with a dumbbell in each hand, palms facing forward (supinated grip).","Curl one arm up towards your shoulder, squeezing the bicep at the top.","Lower slowly back to full extension, then repeat on the other arm. Keep your core braced.",
Complete,Ankle Dorsiflexion with Contractions ,,https://vimeo.com/779969554/1bb60a15cb,Completed,Completed,DANNY,,Mobility,Repetitions,None,None,Tibialis Anterior,"Lower Body, Mobility, Flexibility, Legs, Toes , Stretch ,Ankles","A mobility exercise targeting the legs, toes, stretch, building controlled range of motion and joint health.",Set up in the starting position for Ankle Dorsiflexion with Contractions. Ensure proper alignment and brace your core lightly.,"Move through the full range of motion with control. Focus on owning every part of the movement, not just the end range.",Return to the starting position with the same level of control. Repeat for the prescribed repetitions.,
Complete,Ankle Flow ,,https://vimeo.com/779969462/9437c85832,Completed,Completed,DANNY,,Mobility,Repetitions,None,None,Tibialis Anterior,"Lower Body, Mobility, Flexibility, Legs, Toes , Stretch ,Ankles","A mobility exercise targeting the legs, toes, stretch, building controlled range of motion and joint health.",Set up in the starting position for Ankle Flow. Ensure proper alignment and brace your core lightly.,"Move through the full range of motion with control. Focus on owning every part of the movement, not just the end range.",Return to the starting position with the same level of control. Repeat for the prescribed repetitions.,
Complete,Ant Tib Raises ,,https://vimeo.com/769831566,Completed,Completed,DANNY,,Strength,Repetitions,None,None,Tibialis Anterior,"Lower Body, Mobility, Ankles, Feet, Rehab ","A strength exercise targeting the ankles, feet, rehab.","Set up for Ant Tib Raises with proper form. Ensure your grip, stance, and alignment are correct before starting.",Execute the movement through a full range of motion with control. Focus on the target muscles and avoid compensating with momentum.,Return to the starting position under control. Do not rush the eccentric (lowering) phase.,
Complete,Arch Body - Y To W,,https://vimeo.com/765465819/d9a4f0e834,Completed,Completed,DANNY,,Mobility,Duration,None,None,"Deltoids, Erector Spinae","Upper Body, Mobility , Shoulder, Spine, Extension","A prone position drill moving the arms from Y to W position, building upper back and shoulder mobility with spinal extension.",Lie face down with arms extended overhead in a Y position. Lift your chest and arms off the floor.,"Pull your elbows down and back, transitioning your arms from the Y position to a W position.",Return to the Y position with control. Keep your glutes engaged and chest lifted throughout.,
Complete,Arch Body Series ,,https://vimeo.com/manage/videos/413782884/e6a8e5da70,Completed,Completed,DANNY,,Mobility,Duration,None,None,"Erector Spinae, Abdominals","Upper Body, Back, Thoracic, Core, Mobility, Strength","A mobility exercise targeting the back, thoracic, core, building controlled range of motion and joint health.",Set up in the starting position for Arch Body Series. Ensure proper alignment and brace your core lightly.,"Move through the full range of motion with control. Focus on owning every part of the movement, not just the end range.",Return to the starting position with the same level of control. Repeat for the prescribed repetitions.,
Complete,Arm Raises - Child's Pose ,,https://vimeo.com/manage/videos/413782282/0881b908d6,Completed,Completed,DANNY,,Bodyweight,Repetitions,None,None,"Deltoids, Latissimus Dorsi","Handstands, Upper Body, Alignment, Technique, shoulder flexion","Overhead arm raises performed from child's pose, building shoulder flexion range required for handstands and overhead positions.",Start in child's pose with your forehead on the floor and arms extended in front of you.,Lift both arms off the floor as high as you can while keeping your hips down and forehead on the ground.,"Hold briefly at the top, then lower with control. Focus on the shoulder flexion range.",
Complete,Back Extensions,,https://vimeo.com/768735555,Completed,Completed,DANNY,,Mobility,Repetitions,None,None,"Erector Spinae, Gluteus Maximus","Full Body, Mobility , Strength, Hamstrings, Glutes, Extensors, Back, Spine ",A posterior chain exercise targeting the erector spinae and glutes through controlled spinal extension.,Set up on a back extension bench with your hips at the top of the pad and feet secured.,"Lower your upper body towards the floor by hinging at the hips, keeping your spine neutral.",Drive back up by squeezing your glutes and lower back until your body forms a straight line. Do not hyperextend.,
Complete,Back Row - Dumbbells ,,https://vimeo.com/771318195/ff520e41bd,Completed,Completed,DANNY,,Strength,Repetitions with Weight,None,Dumbbells,"Deltoids, Rhomboids","Upper Body, Strength , Arms , Shoulders , Upper Back, Latt, ","A dumbbells-based strength exercise targeting the arms, shoulders, upper back.","Set up for Back Row - Dumbbells with proper form. Ensure your grip, stance, and alignment are correct before starting.",Execute the movement through a full range of motion with control. Focus on the target muscles and avoid compensating with momentum.,Return to the starting position under control. Do not rush the eccentric (lowering) phase.,
Complete,Back Row on Rings ,,https://vimeo.com/781358912/e61d72c6a3,Completed,Completed,DANNY,,Strength,Repetitions,None,Rings,Rhomboids,"Upper Body , Strength , Upper Back, Bodyweight Training, ","A rings-based strength exercise targeting the upper back, bodyweight training.","Set up for Back Row on Rings with proper form. Ensure your grip, stance, and alignment are correct before starting.",Execute the movement through a full range of motion with control. Focus on the target muscles and avoid compensating with momentum.,Return to the starting position under control. Do not rush the eccentric (lowering) phase.,
Complete,Back Squat - Barbell ,,https://vimeo.com/781360080,Completed,Completed,DANNY,,Strength,Repetitions with Weight,None,Barbell,"Hamstrings, Hip Flexors, Gluteus Maximus","Lower Body, Mobility,  Hamstrings, Strength, Legs , Hips , Glutes, Quads","A barbell-based strength exercise targeting the hamstrings, legs, hips.","Set up for Back Squat - Barbell with proper form. Ensure your grip, stance, and alignment are correct before starting.",Execute the movement through a full range of motion with control. Focus on the target muscles and avoid compensating with momentum.,Return to the starting position under control. Do not rush the eccentric (lowering) phase.,
Complete,Balancing on One Leg,,https://vimeo.com/manage/videos/903810996/6105ec9b4b,Completed,Completed,DANNY,,Mobility,Repetitions,Per Leg,None,Hip Flexors,"Lower Body, Mobility, Flexibility, Knees, Hips ","A mobility exercise targeting the knees, hips, building controlled range of motion and joint health.",Set up in the starting position for Balancing on One Leg. Ensure proper alignment and brace your core lightly.,"Move through the full range of motion with control. Focus on owning every part of the movement, not just the end range.",Return to the starting position with the same level of control. Repeat for the prescribed repetitions.,
Complete,Band Pull Aparts ,,https://vimeo.com/768737481,Completed,Completed,DANNY,,Strength,Repetitions,None,Resistance Band,"Deltoids, Trapezius","Upper Body, Mobility, Strength, Retraction, Shoulders, Traps, Rhomboids, Warm Up","A resistance band-based strength exercise targeting the retraction, shoulders, traps.","Set up for Band Pull Aparts with proper form. Ensure your grip, stance, and alignment are correct before starting.",Execute the movement through a full range of motion with control. Focus on the target muscles and avoid compensating with momentum.,Return to the starting position under control. Do not rush the eccentric (lowering) phase.,
Complete,Banded Chicken Wing ,,https://vimeo.com/manage/videos/413781291/153144cf0d,Completed,Completed,DANNY,,Bodyweight,Repetitions,None,Resistance Band,"Rotator Cuff, Deltoids","Handstands, Upper Body, Alignment, Technique, ","A resistance band drill targeting external rotation and scapular stability, commonly used as handstand preparation.",Loop a resistance band around both wrists. Bend your elbows to 90 degrees with arms at your sides.,"Rotate your forearms outward against the band, pulling your wrists apart while keeping elbows pinned.","Hold the end range for 2-3 seconds, then return slowly. Keep your shoulder blades squeezed together.",
Complete,Banded Single Arm Raises ,,https://vimeo.com/manage/videos/413781079/03cba26f65,Completed,Completed,DANNY,,Strength,Repetitions,Per Side,Resistance Band,Deltoids,"Upper Body, Shoulders, Mobility, Rotator Cuffs, Shoulder Flexion","A resistance band-based strength exercise targeting the shoulders, rotator cuffs, shoulder flexion.","Set up for Banded Single Arm Raises with proper form. Ensure your grip, stance, and alignment are correct before starting.",Execute the movement through a full range of motion with control. Focus on the target muscles and avoid compensating with momentum.,Return to the starting position under control. Do not rush the eccentric (lowering) phase.,
Complete,Bench Press - Dumbbells ,,https://vimeo.com/769823264,Completed,Completed,DANNY,,Strength,Repetitions with Weight,None,Dumbbells,"Deltoids, Pectoralis","Upper Body, Strength , Arms , Shoulders , Chest ","A dumbbells-based strength exercise targeting the arms, shoulders, chest.","Set up for Bench Press - Dumbbells with proper form. Ensure your grip, stance, and alignment are correct before starting.",Execute the movement through a full range of motion with control. Focus on the target muscles and avoid compensating with momentum.,Return to the starting position under control. Do not rush the eccentric (lowering) phase.,
Complete,Bent Arm to Straight Front Raises ,,https://vimeo.com/771321019/c5e64db6c4,Completed,Completed,DANNY,,Strength,Repetitions,None,None,"Deltoids, Rhomboids, Trapezius","Upper Body, Strength , Arms , Shoulders , Upper Back, Traps, Deltoids,","A strength exercise targeting the arms, shoulders, upper back.","Set up for Bent Arm to Straight Front Raises with proper form. Ensure your grip, stance, and alignment are correct before starting.",Execute the movement through a full range of motion with control. Focus on the target muscles and avoid compensating with momentum.,Return to the starting position under control. Do not rush the eccentric (lowering) phase.,
Complete,Big Toe Extension with Contractions,,https://vimeo.com/779969518/b6026091e9,Completed,Completed,DANNY,,Mobility,Repetitions,None,None,Tibialis Anterior,"Lower Body, Mobility, Flexibility, Legs, Toes , Stretch ,Ankles","A mobility exercise targeting the legs, toes, stretch, building controlled range of motion and joint health.",Set up in the starting position for Big Toe Extension with Contractions. Ensure proper alignment and brace your core lightly.,"Move through the full range of motion with control. Focus on owning every part of the movement, not just the end range.",Return to the starting position with the same level of control. Repeat for the prescribed repetitions.,
Complete,Bottoms Up Kettlebell Press,,https://vimeo.com/767342013,Completed,Completed,DANNY,,Strength,Repetitions with Weight,None,Kettlebell,Deltoids,"Upper Body, Mobility , Shoulder, Stability , Strength","A kettlebell-based strength exercise targeting the shoulder, stability.","Set up for Bottoms Up Kettlebell Press with proper form. Ensure your grip, stance, and alignment are correct before starting.",Execute the movement through a full range of motion with control. Focus on the target muscles and avoid compensating with momentum.,Return to the starting position under control. Do not rush the eccentric (lowering) phase.,
Complete,Box Jumps ,,https://vimeo.com/781360180,Completed,Completed,DANNY,,Mobility,Repetitions,None,Box,"Hamstrings, Hip Flexors, Gluteus Maximus","Lower Body, Mobility,  Hamstrings, Strength, Legs , Hips , Glutes, Strength","A mobility exercise targeting the hamstrings, legs, hips, building controlled range of motion and joint health.",Set up in the starting position for Box Jumps. Ensure proper alignment and brace your core lightly.,"Move through the full range of motion with control. Focus on owning every part of the movement, not just the end range.",Return to the starting position with the same level of control. Repeat for the prescribed repetitions.,
Complete,Buddha Holds,,https://vimeo.com/776723665,Completed,Completed,DANNY,,Mobility,Duration,None,None,Deltoids,"Upper Body, Mobility, Flexibility, Shoulders, ","A mobility exercise targeting the shoulders, building controlled range of motion and joint health.",Set up in the starting position for Buddha Holds. Ensure proper alignment and brace your core lightly.,"Move through the full range of motion with control. Focus on owning every part of the movement, not just the end range.",Return to the starting position with the same level of control. Repeat for the prescribed repetitions.,
Complete,Bulgarian Split Squats,,https://vimeo.com/771314689,Completed,Completed,DANNY,,Strength,Repetitions,Per Leg,None,Quadriceps,"Lower Body, Strength, Quads, Legs ","A strength exercise targeting the quads, legs.","Set up for Bulgarian Split Squats with proper form. Ensure your grip, stance, and alignment are correct before starting.",Execute the movement through a full range of motion with control. Focus on the target muscles and avoid compensating with momentum.,Return to the starting position under control. Do not rush the eccentric (lowering) phase.,
Complete,Burpee Box Step Over,,https://vimeo.com/781360262,Completed,Completed,DANNY,,Strength,Repetitions,None,Step,Abdominals,"Full Body, Strength, Cardio, HIIT, Conditioning, Core ","A step-based strength exercise targeting the cardio, hiit, core.","Set up for Burpee Box Step Over with proper form. Ensure your grip, stance, and alignment are correct before starting.",Execute the movement through a full range of motion with control. Focus on the target muscles and avoid compensating with momentum.,Return to the starting position under control. Do not rush the eccentric (lowering) phase.,
Complete,Cable Trap Raises ,,https://vimeo.com/manage/videos/413798271/2d43a374ef,Completed,Completed,DANNY,,Strength,Repetitions with Weight,None,Cable Machine,"Deltoids, Abdominals","Upper Body, Shoulders, Core, Strength, Rotator Cuffs","A cable machine-based strength exercise targeting the shoulders, core, rotator cuffs.","Set up for Cable Trap Raises with proper form. Ensure your grip, stance, and alignment are correct before starting.",Execute the movement through a full range of motion with control. Focus on the target muscles and avoid compensating with momentum.,Return to the starting position under control. Do not rush the eccentric (lowering) phase.,
Complete,Cactus Down Stretch ,,https://vimeo.com/765465838/95b8749527,Completed,Completed,DANNY,,Stretching,Duration,None,None,"Deltoids, Rotator Cuff","Upper Body, Mobility , Shoulder, Internal Rotation ","A stretching exercise targeting the shoulder, internal rotation, improving flexibility and range of motion through controlled movement.",Get into the starting position for Cactus Down Stretch. Ensure your body is properly aligned before beginning the stretch.,Move into the stretch slowly and with control. Breathe deeply and allow the muscles to release. Do not bounce or force the range.,Hold the end position for the prescribed duration. Release slowly and repeat on the other side if applicable.,
Complete,Cactus Down Weighted,,https://vimeo.com/765465855/0e627afdc7,Completed,Completed,DANNY,,Mobility,Repetitions,None,None,"Deltoids, Rotator Cuff","Upper Body, Mobility , Shoulder, Internal Rotation ","A mobility exercise targeting the shoulder, internal rotation, building controlled range of motion and joint health.",Set up in the starting position for Cactus Down Weighted. Ensure proper alignment and brace your core lightly.,"Move through the full range of motion with control. Focus on owning every part of the movement, not just the end range.",Return to the starting position with the same level of control. Repeat for the prescribed repetitions.,
Complete,Cactus Up Stretch - Standing ,,https://vimeo.com/779969485/826da3ccb0,Completed,Completed,DANNY,,Stretching,Duration,None,None,"Deltoids, Pectoralis","Upper Body, Mobility, Flexibility, Shoulders, Chest, stretch ","A stretching exercise targeting the shoulders, chest, stretch, improving flexibility and range of motion through controlled movement.",Get into the starting position for Cactus Up Stretch - Standing. Ensure your body is properly aligned before beginning the stretch.,Move into the stretch slowly and with control. Breathe deeply and allow the muscles to release. Do not bounce or force the range.,Hold the end position for the prescribed duration. Release slowly and repeat on the other side if applicable.,
Complete,Cactus Up Stretch with Contractions,,https://vimeo.com/768737643,Completed,Completed,DANNY,,Stretching,Duration,None,None,"Deltoids, Pectoralis","Upper Body, Shoulders, Chest, Stretch, Flexibility, ","A stretching exercise targeting the shoulders, chest, stretch, improving flexibility and range of motion through controlled movement.",Get into the starting position for Cactus Up Stretch with Contractions. Ensure your body is properly aligned before beginning the stretch.,Move into the stretch slowly and with control. Breathe deeply and allow the muscles to release. Do not bounce or force the range.,Hold the end position for the prescribed duration. Release slowly and repeat on the other side if applicable.,
Complete,Calf Raises ,,https://vimeo.com/769828925/,Completed,Completed,DANNY,,Strength,Repetitions,None,None,"Gastrocnemius, Tibialis Anterior","Lower Body, Mobility, Ankles, Feet, Rehab, Strength, Calf","A strength exercise targeting the ankles, feet, rehab.","Set up for Calf Raises with proper form. Ensure your grip, stance, and alignment are correct before starting.",Execute the movement through a full range of motion with control. Focus on the target muscles and avoid compensating with momentum.,Return to the starting position under control. Do not rush the eccentric (lowering) phase.,
Complete,Calf Roll Outs,,https://vimeo.com/776724195,Completed,Completed,DANNY,,Mobility,Repetitions,None,None,Gastrocnemius,"Lower Body, Mobility, Calves, Flexibility, Legs","A mobility exercise targeting the calves, legs, building controlled range of motion and joint health.",Set up in the starting position for Calf Roll Outs. Ensure proper alignment and brace your core lightly.,"Move through the full range of motion with control. Focus on owning every part of the movement, not just the end range.",Return to the starting position with the same level of control. Repeat for the prescribed repetitions.,
Complete,Calf Stretch ,,https://vimeo.com/769816705,Completed,Completed,DANNY,,Stretching,Duration,None,None,Tibialis Anterior,"Lower Body, Mobility, Ankles, Feet, Rehab, Calf, Stretch","A stretching exercise targeting the ankles, feet, rehab, improving flexibility and range of motion through controlled movement.",Get into the starting position for Calf Stretch. Ensure your body is properly aligned before beginning the stretch.,Move into the stretch slowly and with control. Breathe deeply and allow the muscles to release. Do not bounce or force the range.,Hold the end position for the prescribed duration. Release slowly and repeat on the other side if applicable.,
Complete,Chest Flys - Cables ,,https://vimeo.com/781360428,Completed,Completed,DANNY,,Strength,Repetitions with Weight,None,Cable Machine,"Deltoids, Pectoralis","Upper Body, Mobility, Strength, Shoulders, Stability, Chest ","A cable machine-based strength exercise targeting the shoulders, stability, chest.","Set up for Chest Flys - Cables with proper form. Ensure your grip, stance, and alignment are correct before starting.",Execute the movement through a full range of motion with control. Focus on the target muscles and avoid compensating with momentum.,Return to the starting position under control. Do not rush the eccentric (lowering) phase.,
Complete,Chest Supported Dumbbell W to Y Raise ,,https://vimeo.com/769820192,Completed,Completed,DANNY,,Strength,Repetitions with Weight,None,Dumbbells,"Deltoids, Rhomboids","Upper Body, Strength , Arms , Shoulders , Upper Back ","A dumbbells-based strength exercise targeting the arms, shoulders, upper back.","Set up for Chest Supported Dumbbell W to Y Raise with proper form. Ensure your grip, stance, and alignment are correct before starting.",Execute the movement through a full range of motion with control. Focus on the target muscles and avoid compensating with momentum.,Return to the starting position under control. Do not rush the eccentric (lowering) phase.,
Complete,Chest Supported Y Raise Dumbbell,,https://vimeo.com/769817043,Completed,Completed,DANNY,,Strength,Repetitions with Weight,None,Dumbbells,"Deltoids, Rhomboids","Upper Body, Strength , Arms , Shoulders , Upper Back ","A dumbbells-based strength exercise targeting the arms, shoulders, upper back.","Set up for Chest Supported Y Raise Dumbbell with proper form. Ensure your grip, stance, and alignment are correct before starting.",Execute the movement through a full range of motion with control. Focus on the target muscles and avoid compensating with momentum.,Return to the starting position under control. Do not rush the eccentric (lowering) phase.,
Complete,Chin Up ,,https://vimeo.com/776724672,Completed,Completed,DANNY,,Strength,Repetitions,None,Pull Up Bar,"Latissimus Dorsi, Biceps","Strength, Upper Body, Arms, Back Workout, Latts","A vertical pulling exercise with an underhand grip, targeting the lats and biceps through a full range of motion.","Grip a pull up bar with an underhand (supinated) grip, hands shoulder-width apart.","Pull yourself up until your chin clears the bar, driving your elbows down and back.",Lower yourself with control until your arms are fully extended. Avoid swinging or kipping.,
Complete,Copenhagen Plank ,,https://vimeo.com/765465870/01fbac1fbd,Completed,Completed,DANNY,,Mobility,Duration,None,None,"Hip Flexors, Deltoids, Hip Adductors","Full Body, Mobility, Hips, Shoulders, Adductors, Core","A mobility exercise targeting the hips, shoulders, adductors, building controlled range of motion and joint health.",Set up in the starting position for Copenhagen Plank. Ensure proper alignment and brace your core lightly.,"Move through the full range of motion with control. Focus on owning every part of the movement, not just the end range.",Return to the starting position with the same level of control. Repeat for the prescribed repetitions.,
Complete,Cork Screws ,,https://vimeo.com/manage/videos/413778016/e83e0b0a77,Completed,Completed,DANNY,,Mobility,Repetitions,None,None,Hip Flexors,"Lower Body, Mobility, Flexibility, Knees, Hips ,middle splits","A mobility exercise targeting the knees, hips, middle splits, building controlled range of motion and joint health.",Set up in the starting position for Cork Screws. Ensure proper alignment and brace your core lightly.,"Move through the full range of motion with control. Focus on owning every part of the movement, not just the end range.",Return to the starting position with the same level of control. Repeat for the prescribed repetitions.,
Complete,Cossack Squat ,,https://vimeo.com/771322608/7967f919ed,Completed,Completed,DANNY,,Strength,Repetitions,Per Leg,None,"Quadriceps, Hip Flexors, Gluteus Maximus","Lower Body, Mobility, Hips, Glutes, Adductors, Hamstrings","A strength exercise targeting the hips, glutes, adductors.","Set up for Cossack Squat with proper form. Ensure your grip, stance, and alignment are correct before starting.",Execute the movement through a full range of motion with control. Focus on the target muscles and avoid compensating with momentum.,Return to the starting position under control. Do not rush the eccentric (lowering) phase.,
Complete,Couch Stretch  ,,https://vimeo.com/765540769,Completed,Completed,DANNY,,Stretching,Duration,None,None,"Hip Flexors, Quadriceps","Lower Body, Mobility, Hips, Knees, Quads, Extension","A stretching exercise targeting the hips, knees, quads, improving flexibility and range of motion through controlled movement.",Get into the starting position for Couch Stretch. Ensure your body is properly aligned before beginning the stretch.,Move into the stretch slowly and with control. Breathe deeply and allow the muscles to release. Do not bounce or force the range.,Hold the end position for the prescribed duration. Release slowly and repeat on the other side if applicable.,
Complete,Crow / Crane ,,https://vimeo.com/manage/videos/413784069/84e06eec1a,Completed,Completed,DANNY,,Bodyweight,Repetitions,None,None,"Deltoids, Abdominals, Forearms","Handstands, Upper Body, Alignment, Technique, ","A foundational arm balance where the knees rest on the backs of the upper arms, building wrist strength and core control.",Place your hands shoulder-width apart on the floor. Bend your elbows slightly and lean forward.,"Place your knees on the backs of your upper arms (near the armpits for crane, on triceps for crow).",Shift your weight forward until your feet lift off the floor. Hold the balance with a rounded upper back and engaged core.,
Complete,Cyclist Squat ,,https://vimeo.com/manage/videos/413791680/aef3b17fa6,Completed,Completed,DANNY,,Strength,Repetitions,None,None,Quadriceps,"Strength, Lower Body, Squat, Quads , Legs","A heel-elevated squat with a narrow stance, isolating the quadriceps by reducing hip and glute involvement.","Stand with a narrow stance, heels elevated on a small plate or wedge.","Squat straight down by bending your knees, keeping your torso as upright as possible.",Drive back up through your quads. Keep the movement slow and controlled with knees tracking over toes.,
Complete,Deadlift - Kettlebell,,https://vimeo.com/769829204,Completed,Completed,DANNY,,Strength,Repetitions with Weight,None,Kettlebell,"Hip Flexors, Gluteus Maximus, Hamstrings","Lower Body, Strength, Hips, Glutes, Hamstrings","A kettlebell-based strength exercise targeting the hips, glutes, hamstrings.","Set up for Deadlift - Kettlebell with proper form. Ensure your grip, stance, and alignment are correct before starting.",Execute the movement through a full range of motion with control. Focus on the target muscles and avoid compensating with momentum.,Return to the starting position under control. Do not rush the eccentric (lowering) phase.,
Complete,Dips ,,https://vimeo.com/781360572,Completed,Completed,DANNY,,Strength,Repetitions,None,None,"Deltoids, Pectoralis","Upper Body, Mobility, Strength, Shoulders, Stability, Chest ","A strength exercise targeting the shoulders, stability, chest.","Set up for Dips with proper form. Ensure your grip, stance, and alignment are correct before starting.",Execute the movement through a full range of motion with control. Focus on the target muscles and avoid compensating with momentum.,Return to the starting position under control. Do not rush the eccentric (lowering) phase.,
Complete,Dumbbell Conditioning Sequence,,https://vimeo.com/781360707,Completed,Completed,DANNY,,Strength,Repetitions with Weight,None,Dumbbells,"Deltoids, Abdominals","Upper Body, Strength, Conditioning, Shoulders, Core, Cardio ","A dumbbells-based strength exercise targeting the shoulders, core, cardio.","Set up for Dumbbell Conditioning Sequence with proper form. Ensure your grip, stance, and alignment are correct before starting.",Execute the movement through a full range of motion with control. Focus on the target muscles and avoid compensating with momentum.,Return to the starting position under control. Do not rush the eccentric (lowering) phase.,
